id,doi,title,abstract,authors,publication_date,journal,source_database,keywords,url,citation_count,language,paper_type,year_abs,jd,am_day,data_hash,created_at
371,10.15556/ijiim.02.02.004,Approaching Reading Clubs from a historical and sociological perspective,,Georgios Bikos; Panagiota Papadimitriou,2115-12-30,International Journal on Integrated Information Management,crossref,historical,https://doi.org/10.15556/ijiim.02.02.004,0,en,journal-article,2115,2493910.5,755746.5,4364dd24506db3c461a29a773d06ded7,2025-11-04 00:22:52
177,10.15556/ijsim.01.04.001,"Exploring the Effects of Annual Income, History of Area and Natural Beauty on Loyalty to a Tourist Destination: The Case of Thessaloniki, Greece",,C.C. Frangos; Con. Fragkos; G. Stalidis; Virg. I. Sotiropoulou; I. Manolopoulos; D. Karapistolis,2114-01-01,International Journal of Strategic Innovative Marketing,crossref,history,https://doi.org/10.15556/ijsim.01.04.001,0,en,journal-article,2114,2493182.5,755018.5,fa9bd088780e9db6cea4c61d5d57bc11,2025-11-04 00:22:52
178,10.5962/p.420134,"Life History Notes on the Chequered Swallowtail, Papilio demoleus sthenelus",,Wesley Jenkinson,2107-12-01,Metamorphosis Australia : magazine of the Butterfly &amp; Other Invertebrates Club,crossref,history,https://doi.org/10.5962/p.420134,0,en,journal-article,2107,2490959.5,752795.5,c520471489b804ef653efeeefceaa213,2025-11-04 00:22:52
179,10.1353/mni.2081.0020,The History Problem: The Politics of War Commemoration in East Asia by Hiro Saito,,Philip Seaton,2081-01-01,Monumenta Nipponica,crossref,history,https://doi.org/10.1353/mni.2081.0020,0,en,journal-article,2081,2481130.5,742966.5,91a30dfdd6b8d49cb1b11e7d3c5b44f0,2025-11-04 00:22:52
180,10.1353/mni.2081.0003,"Shinto: A History by Helen Hardacre, and: A Social History of the Ise Shrines: Divine Capital by Mark Teeuwen and John Breen",,Yijiang Zhong,2081-01-01,Monumenta Nipponica,crossref,history,https://doi.org/10.1353/mni.2081.0003,0,en,journal-article,2081,2481130.5,742966.5,cd9a5fa26585b4efd84501c6ed540b84,2025-11-04 00:22:52
181,10.52056/9788833138282/27,Review. A grand sweep of the history of Sino-Japanese relations,,Ian Astley,2058-01-01,Asia Maior,crossref,history,https://doi.org/10.52056/9788833138282/27,0,en,journal-article,2058,2472729.5,734565.5,ad3df86df45b0ee7bf7e6946fddf8edb,2025-11-04 00:22:52
182,10.1515/9780748672776-049,"INTRODUCTION: HISTORY, POWER AND POLITICS IN THE LITERARY ARTIFACT",,,2037-01-01,Literary Theories A Reader and Guide,crossref,history,https://doi.org/10.1515/9780748672776-049,0,en,book-chapter,2037,2465059.5,726895.5,b8fb3a42b25359255d1c7851c9e6ce73,2025-11-04 00:22:52
183,10.3998/wsfh.9056,Title Pending 9056,,,2035-10-29,The Journal of the Western Society for French History,crossref,history,https://doi.org/10.3998/wsfh.9056,0,en,journal-article,2035,2464629.5,726465.5,68e1161a8760b60291fb387aa694b7a6,2025-11-04 00:22:52
372,10.17077/2373-1842.33944,Title Pending 33944,,,2035-10-27,Iowa Historical Review,crossref,historical,https://doi.org/10.17077/2373-1842.33944,0,en,journal-article,2035,2464627.5,726463.5,b4f995c508bafa162384ff5e21bb55af,2025-11-04 00:22:52
373,10.17077/2373-1842.33941,Title Pending 33941,,,2035-10-27,Iowa Historical Review,crossref,historical,https://doi.org/10.17077/2373-1842.33941,0,en,journal-article,2035,2464627.5,726463.5,a8652a9523d28672cbce431c9a5ffb23,2025-11-04 00:22:52
184,10.3998/wsfh.8905,Title Pending 8905,,,2035-10-14,The Journal of the Western Society for French History,crossref,history,https://doi.org/10.3998/wsfh.8905,0,en,journal-article,2035,2464614.5,726450.5,ab76dc1f664de88589e53aadc8ca4a2f,2025-11-04 00:22:52
185,10.3998/wsfh.8819,Title Pending 8819,,,2035-10-02,The Journal of the Western Society for French History,crossref,history,https://doi.org/10.3998/wsfh.8819,0,en,journal-article,2035,2464602.5,726438.5,8932050e7235c73c44a463ba7ff2d96b,2025-11-04 00:22:52
